"Revenue","Revenue"
"Number of Transaction","Number of Transaction"
"Day","Day"
"Week","Week"
"Month","Month"
"Date","Date"
"Percent %","Percent %"
"Sales Report","Sales Report"
"Product Report","Product Report"
"Show rows","Show rows"
"Go to","Go to"
"Product","Product"
"Quantity","Quantity"
"Unique Purchases","Unique Purchases"
"Product Revenue","Product Revenue"
"Average Price","Average Price"
"Average QTY %","Average QTY %"
"Average QTY","Average QTY"
"All Reports","All Reports"
"Advanced Report","Advanced Report"
"Transactions Report","Transactions Report"
"Time to Purchase Report","Time to Purchase Report"
"Export","Export"
"No of Transactions","No of Transactions"
"S No.","S No."
"S No","S No"
"Advanced Reports","Advanced Reports"
"Days to Transaction","Days to Transaction"
"Transactions","Transactions"
"Percentage of total","Percentage of total"
"Transaction","Transaction"
"Tax","Tax"
"Shipping","Shipping"
"Apply","Apply"
"Cancel","Cancel"
"Today","Today"
"Yesterday","Yesterday"
"Last Week","Last Week"
"Last Month","Last Month"
"Custom","Custom"
"Date Range","Date Range"
"CSV","CSV"
"Excel XML","Excel XML"
"Please select from and to dates","Please select from and to dates"
"From","From"
"To","To"
"Percent","Percent"
"sales","sales"
"product","product"
"transactions","transactions"
"timetopurchase","timetopurchase"
"header","header"
"SNo","SNo"
"Percentage of total %","Percentage of total %"
"No data found","No data found"
"No of Purchases","No of Purchases"
"timetopurchase",
"S No","S No"
"DaystoTransaction","DaystoTransaction"
"Percentageoftotal","Percentageoftotal"
"timetopurchase","timetopurchase"
"Export As:","Export As:"
"Tax / Shipping","Tax / Shipping"
"Tax","Tax"
"Included","Included"
"Excluded","Excluded"

